,0,1,2,3,4
207,AVAZ,SBER,2017-07-07,-0.0234,-0.0169
208,AVAZP,GAZP,2017-07-07,0.2645,0.7042
209,AVAZP,GMKN,2017-07-07,0.112,0.2098
210,AVAZP,IDVP,2017-07-07,-0.0425,-0.0735
211,AVAZP,LKOH,2017-07-07,0.1571,0.2875
212,AVAZP,MICEXINDEXCF,2017-07-07,0.1647,0.5746
213,AVAZP,PHOR,2017-07-07,-0.0777,-0.1765
214,AVAZP,RTSCH,2017-07-07,-0.0522,-0.1729
215,AVAZP,RTSEU,2017-07-07,-0.0782,-0.1771
216,AVAZP,RTSI,2017-07-07,0.1,0.2918
217,AVAZP,RTSMM,2017-07-07,0.2015,0.5276
218,AVAZP,RTSSTD,2017-07-07,0.1762,0.5661
219,AVAZP,RTSTN,2017-07-07,-0.019,-0.0267
220,AVAZP,SBER,2017-07-07,-0.0631,-0.1058
221,BANE,GAZP,2017-07-07,0.2317,0.7608
222,BANE,GMKN,2017-07-07,0.3295,0.7607
223,BANE,IDVP,2017-07-07,-0.2262,-0.4821
224,BANE,LKOH,2017-07-07,-0.0933,-0.2105
225,BANE,MICEXINDEXCF,2017-07-07,0.0999,0.4297
226,BANE,PHOR,2017-07-07,0.3392,0.9499
227,BANE,RTSCH,2017-07-07,0.5698,2.3275
228,BANE,RTSEU,2017-07-07,0.2294,0.6407
229,BANE,RTSI,2017-07-07,0.1794,0.6457
230,BANE,RTSMM,2017-07-07,0.2552,0.8242
231,BANE,RTSSTD,2017-07-07,0.0829,0.3285
232,BANE,RTSTN,2017-07-07,-0.1112,-0.1929
233,BANE,SBER,2017-07-07,0.0882,0.1825
234,BANEP,GAZP,2017-07-07,0.1174,0.2977
235,BANEP,GMKN,2017-07-07,0.023,0.0409
236,BANEP,IDVP,2017-07-07,-0.0454,-0.0746
237,BANEP,LKOH,2017-07-07,0.1306,0.2276
238,BANEP,MICEXINDEXCF,2017-07-07,0.126,0.4185
239,BANEP,PHOR,2017-07-07,0.3106,0.6717
240,BANEP,RTSCH,2017-07-07,0.112,0.3534
241,BANEP,RTSEU,2017-07-07,0.0887,0.1914
242,BANEP,RTSI,2017-07-07,-0.0949,-0.2639
243,BANEP,RTSMM,2017-07-07,0.0272,0.0679
244,BANEP,RTSSTD,2017-07-07,0.0806,0.2468
245,BANEP,RTSTN,2017-07-07,-0.1956,-0.262
246,BANEP,SBER,2017-07-07,-0.1381,-0.2205
247,BISV,GAZP,2017-07-07,,0.0
248,BISV,GMKN,2017-07-07,,0.0
249,BISV,IDVP,2017-07-07,,0.0
250,BISV,LKOH,2017-07-07,,0.0
251,BISV,MICEXINDEXCF,2017-07-07,,0.0
252,BISV,PHOR,2017-07-07,,0.0
253,BISV,RTSCH,2017-07-07,,0.0
254,BISV,RTSEU,2017-07-07,,0.0
255,BISV,RTSI,2017-07-07,,0.0
256,BISV,RTSMM,2017-07-07,,0.0
257,BISV,RTSSTD,2017-07-07,,0.0
258,BISV,RTSTN,2017-07-07,,0.0
259,BISV,SBER,2017-07-07,,0.0
260,BISVP,GAZP,2017-07-07,-0.1818,-0.3034
261,BISVP,GMKN,2017-07-07,0.1138,0.1336
262,BISVP,IDVP,2017-07-07,0.0316,0.0342
263,BISVP,LKOH,2017-07-07,0.003,0.0034
264,BISVP,MICEXINDEXCF,2017-07-07,0.1242,0.2717
265,BISVP,PHOR,2017-07-07,-0.1396,-0.1988
266,BISVP,RTSCH,2017-07-07,0.1626,0.3377
267,BISVP,RTSEU,2017-07-07,0.1122,0.1594
268,BISVP,RTSI,2017-07-07,0.0706,0.1292
269,BISVP,RTSMM,2017-07-07,0.0633,0.1039
270,BISVP,RTSSTD,2017-07-07,0.1147,0.2311
271,BISVP,RTSTN,2017-07-07,0.1735,0.153
272,BISVP,SBER,2017-07-07,0.1867,0.1964
273,BLNG,GAZP,2017-07-07,0.0849,0.2368
274,BLNG,GMKN,2017-07-07,0.1198,0.2351
275,BLNG,IDVP,2017-07-07,-0.1476,-0.2673
276,BLNG,LKOH,2017-07-07,0.2353,0.4512
277,BLNG,MICEXINDEXCF,2017-07-07,0.1021,0.3735
278,BLNG,PHOR,2017-07-07,0.1335,0.3179
279,BLNG,RTSCH,2017-07-07,0.168,0.5833
280,BLNG,RTSEU,2017-07-07,0.3092,0.7342
281,BLNG,RTSI,2017-07-07,0.2527,0.7731
282,BLNG,RTSMM,2017-07-07,0.1993,0.547
283,BLNG,RTSSTD,2017-07-07,0.0848,0.2855
284,BLNG,RTSTN,2017-07-07,0.3952,0.5825
285,BLNG,SBER,2017-07-07,0.0285,0.0501
286,BRZL,GAZP,2017-07-07,-0.259,-0.5631
287,BRZL,GMKN,2017-07-07,-0.2085,-0.3188
288,BRZL,IDVP,2017-07-07,0.1559,0.22
289,BRZL,LKOH,2017-07-07,0.0407,0.0608
290,BRZL,MICEXINDEXCF,2017-07-07,-0.2166,-0.6171
291,BRZL,PHOR,2017-07-07,-0.0669,-0.1241
292,BRZL,RTSCH,2017-07-07,0.0636,0.172
293,BRZL,RTSEU,2017-07-07,0.2934,0.5428
294,BRZL,RTSI,2017-07-07,-0.0901,-0.2148
295,BRZL,RTSMM,2017-07-07,-0.1454,-0.3109
296,BRZL,RTSSTD,2017-07-07,-0.2472,-0.6487
297,BRZL,RTSTN,2017-07-07,0.1072,0.1231
298,BRZL,SBER,2017-07-07,-0.2378,-0.3257
299,BSPB,GAZP,2017-07-07,0.1355,0.2526
300,BSPB,GMKN,2017-07-07,0.1681,0.2204
301,BSPB,IDVP,2017-07-07,-0.1194,-0.1445
302,BSPB,LKOH,2017-07-07,-0.0945,-0.121
303,BSPB,MICEXINDEXCF,2017-07-07,0.2153,0.5258
304,BSPB,PHOR,2017-07-07,0.1189,0.189
305,BSPB,RTSCH,2017-07-07,0.3622,0.8398
306,BSPB,RTSEU,2017-07-07,0.2758,0.4374
307,BSPB,RTSI,2017-07-07,0.2859,0.5843
308,BSPB,RTSMM,2017-07-07,0.4413,0.8091
309,BSPB,RTSSTD,2017-07-07,0.1801,0.4052
310,BSPB,RTSTN,2017-07-07,-0.0211,-0.0208
311,BSPB,SBER,2017-07-07,0.3532,0.4147
312,CBOM,GAZP,2017-07-07,0.4204,0.2579
313,CBOM,GMKN,2017-07-07,-0.1627,-0.0702
314,CBOM,IDVP,2017-07-07,0.009,0.0036
315,CBOM,LKOH,2017-07-07,0.3747,0.158
316,CBOM,MICEXINDEXCF,2017-07-07,0.5246,0.4218
317,CBOM,PHOR,2017-07-07,0.2171,0.1136
318,CBOM,RTSCH,2017-07-07,0.1083,0.0827
319,CBOM,RTSEU,2017-07-07,0.0903,0.0472
320,CBOM,RTSI,2017-07-07,0.3338,0.2246
321,CBOM,RTSMM,2017-07-07,0.2549,0.1539
322,CBOM,RTSSTD,2017-07-07,0.5028,0.3724
323,CBOM,RTSTN,2017-07-07,0.2139,0.0693
324,CBOM,SBER,2017-07-07,0.3531,0.1365
325,CHEP,GAZP,2017-07-07,0.3063,0.9509
326,CHEP,GMKN,2017-07-07,-0.0472,-0.103
327,CHEP,IDVP,2017-07-07,0.2642,0.5325
328,CHEP,LKOH,2017-07-07,0.212,0.4524
329,CHEP,MICEXINDEXCF,2017-07-07,0.2239,0.9109
330,CHEP,PHOR,2017-07-07,0.1892,0.501
331,CHEP,RTSCH,2017-07-07,-0.4178,-1.6139
332,CHEP,RTSEU,2017-07-07,-0.1293,-0.3415
333,CHEP,RTSI,2017-07-07,-0.0749,-0.2549
334,CHEP,RTSMM,2017-07-07,-0.1928,-0.5888
335,CHEP,RTSSTD,2017-07-07,0.224,0.8395
336,CHEP,RTSTN,2017-07-07,0.0068,0.0111
337,CHEP,SBER,2017-07-07,0.0218,0.0426
338,CHGZ,GAZP,2017-07-07,0.0166,0.0579
339,CHGZ,GMKN,2017-07-07,-0.0215,-0.0527
340,CHGZ,IDVP,2017-07-07,0.0362,0.082
341,CHGZ,LKOH,2017-07-07,0.0036,0.0087
342,CHGZ,MICEXINDEXCF,2017-07-07,0.0068,0.031
343,CHGZ,PHOR,2017-07-07,-0.1267,-0.3768
344,CHGZ,RTSCH,2017-07-07,-0.1032,-0.4478
345,CHGZ,RTSEU,2017-07-07,-0.1664,-0.4938
346,CHGZ,RTSI,2017-07-07,-0.0444,-0.1698
347,CHGZ,RTSMM,2017-07-07,-0.0774,-0.2657
348,CHGZ,RTSSTD,2017-07-07,0.0452,0.1904
349,CHGZ,RTSTN,2017-07-07,-0.1963,-0.3616
350,CHGZ,SBER,2017-07-07,0.0736,0.1618
351,CHKZ,GAZP,2017-07-07,-0.0103,-0.0272
352,CHKZ,GMKN,2017-07-07,-0.132,-0.2453
353,CHKZ,IDVP,2017-07-07,0.0558,0.0956
354,CHKZ,LKOH,2017-07-07,0.0551,0.1001
355,CHKZ,MICEXINDEXCF,2017-07-07,0.0254,0.0881
356,CHKZ,PHOR,2017-07-07,0.0883,0.1991
357,CHKZ,RTSCH,2017-07-07,-0.1195,-0.3928
358,CHKZ,RTSEU,2017-07-07,-0.2643,-0.5941
359,CHKZ,RTSI,2017-07-07,-0.087,-0.2519
360,CHKZ,RTSMM,2017-07-07,-0.2014,-0.5233
361,CHKZ,RTSSTD,2017-07-07,0.0418,0.1331
362,CHKZ,RTSTN,2017-07-07,0.025,0.0349
363,CHKZ,SBER,2017-07-07,-0.0014,-0.0024
364,CHMF,GAZP,2017-07-07,0.3862,0.7466
365,CHMF,GMKN,2017-07-07,0.1581,0.2149
366,CHMF,IDVP,2017-07-07,-0.0318,-0.0399
367,CHMF,LKOH,2017-07-07,0.111,0.1475
368,CHMF,MICEXINDEXCF,2017-07-07,0.413,1.0464
369,CHMF,PHOR,2017-07-07,0.1145,0.1888
370,CHMF,RTSCH,2017-07-07,0.3802,0.9146
371,CHMF,RTSEU,2017-07-07,0.2569,0.4226
372,CHMF,RTSI,2017-07-07,0.2975,0.6308
373,CHMF,RTSMM,2017-07-07,0.4726,0.8987
374,CHMF,RTSSTD,2017-07-07,0.4061,0.9477
375,CHMF,RTSTN,2017-07-07,-0.0986,-0.1006
376,CHMF,SBER,2017-07-07,0.2833,0.3451
377,CHMK,GAZP,2017-07-07,-0.1388,-0.2515
378,CHMK,GMKN,2017-07-07,0.0726,0.0925
379,CHMK,IDVP,2017-07-07,-0.155,-0.1823
380,CHMK,LKOH,2017-07-07,-0.4432,-0.5517
381,CHMK,MICEXINDEXCF,2017-07-07,-0.1209,-0.287
382,CHMK,PHOR,2017-07-07,-0.0169,-0.0261
383,CHMK,RTSCH,2017-07-07,0.2308,0.5201
384,CHMK,RTSEU,2017-07-07,0.2268,0.3495
385,CHMK,RTSI,2017-07-07,0.0593,0.1177
386,CHMK,RTSMM,2017-07-07,0.1062,0.1893
387,CHMK,RTSSTD,2017-07-07,-0.1437,-0.3142
388,CHMK,RTSTN,2017-07-07,0.1369,0.131
389,CHMK,SBER,2017-07-07,0.1311,0.1496
390,CHZN,GAZP,2017-07-07,0.0903,0.5219
391,CHZN,GMKN,2017-07-07,-0.0881,-0.358
392,CHZN,IDVP,2017-07-07,-0.0568,-0.2131
393,CHZN,LKOH,2017-07-07,0.2154,0.8561
394,CHZN,MICEXINDEXCF,2017-07-07,-0.0016,-0.0121
395,CHZN,PHOR,2017-07-07,-0.1878,-0.9264
396,CHZN,RTSCH,2017-07-07,-0.0348,-0.2504
397,CHZN,RTSEU,2017-07-07,0.3197,1.5729
398,CHZN,RTSI,2017-07-07,0.2764,1.7524
399,CHZN,RTSMM,2017-07-07,0.0316,0.1797
400,CHZN,RTSSTD,2017-07-07,0.0242,0.1687
401,CHZN,RTSTN,2017-07-07,0.1338,0.4087
402,CHZN,SBER,2017-07-07,-0.0405,-0.1476
